index,gid,status,language,reviewer,dateText,rating,title,reviewText,suggestedResponse
1,taur:1074682463,pending_approval,en,947drk,"Aug 24, 2026",5.0 of 5 bubbles,Absolutely incredible!,"Absolutely incredible!! Without a doubt the best art experiences I’ve ever had. Every room felt carefully curated and inspiring, and there was so much to discover that you could easily spend hours there. The art, the atmosphere, and the way everything was presented made the visit truly special. I left feeling both moved and inspired. Highly recommended , definitely a 5/5 experience!","Thank you for taking the time to share this. It means a lot that you noticed the care in each room, the atmosphere, and the way everything is presented, and that you left feeling both moved and inspired. You are warmly welcome back whenever you would like to spend more time with it."
2,taur:1074517173,pending_approval,sv,Cruiser17010947327,"Aug 23, 2026",5.0 of 5 bubbles,När något väcks till liv,"En väldigt stark upplevelse. Så mycket kreativitet, närvaro och precision i de små detaljerna. Tajmingen var stundtals otrolig.

Det fanns inget annat än den stunden. Jag gick därifrån med en känsla av att något hade väckts till liv igen. Det berörde mig, och på något sätt kändes det som att jag andades lite friare.","Tack för att du satte ord på det så fint. Att du lade märke till kreativiteten, närvaron, precisionen i de små detaljerna och tajmingen betyder mycket. Det är fint att höra att något fick väckas till liv, och att du gick därifrån med lite friare andetag. Du är varmt välkommen tillbaka."
3,taur:1072807930,approved_posted,sv,310stinah,"Aug 12, 2026",5.0 of 5 bubbles,En oas mitt i Stockholm city,En oas av rogivande konst och musik mitt i Stockholms stadspuls. Vi var där med två rätt energifyllda barn på 8 och 10 år och de tyckte det var lite tråkigt och hade svårt att ta det lugnt. Jag återvänder gärna ensam för att kunna ta in konsten och varva ner till andetagen. Tyckte mycket om den här platsen!,"Tack, Stina. Det är fint att stillheten fann sin plats mitt i stadspulsen. Du är varmt välkommen tillbaka när du vill ta in konsten i din egen takt."
4,taur:1070497061,pending_approval,en,erikal982,"Jul 28, 2026",5.0 of 5 bubbles,Amazing experience,"Amazing experience, very relaxing!! Not crowded at all, super friendly staff.","Thank you for noticing the calm in the room, and for mentioning the space it gave you to relax. It means a lot that the visit felt uncrowded and that the welcome from the staff stayed with you. You are very welcome back."
5,taur:1065025164,pending_approval,sv,361rebeckal,"Jun 20, 2026",5.0 of 5 bubbles,Flummigt men verkligt.,"Flummigt men verkligt. Utifrån beskrivningen är det lätt att tro att Andetag bara är för flummiga yogisar. Det är det inte. Det är en helhetsupplevelse av konst i alla dess former. Något existentiellt. Är du öppen för det så låt dig hänföras. Dras du till hantverket i textilkonst. Studera då de textiler Malin vävt i nära detalj. Låt sedan ögat vandra utåt och när ljuset bakom ändras kan du se hur de väl valda metalldetaljerna i textil får tyget att se ut som blöta ytor, kanske en slemhinna inuti rent av eller en porlande vattenväg. Sen i ett annat ljus anas paradisets ormar slingra runt som en hotande skugga i utkanten tack vare de leopardfläckar Malin vävt in i tyget som blir till ormskinn i vissa ljus. Låt musiken och andetaget sedan guida dig. Vilka minnen dyker upp? När var du senast hänförd? Eller rädd för ditt eget andetag? Testa! Det går helt enkelt inte att beskriva.","Tack för att du såg så noga. Att du lät ögat vandra i Malins vävar och fann både blöta ytor och ormskinn när ljuset skiftade, det är precis den långsamma blicken verket är gjort för. Vi är glada att musiken och andetaget fick guida dig, och att minnena fick komma. Du är välkommen tillbaka när du vill andas igen."
6,taur:1062968038,pending_approval,sv,B8678GYmariej,"Jun 4, 2026",5.0 of 5 bubbles,Release,Skönt. Nerstressande upplevelse.,Tack för att du tog dig tid att skriva. Fint att höra att besöket kändes skönt och fick stressen att släppa en stund. Du är varmt välkommen tillbaka för ett nytt andetag.
7,taur:1062261390,pending_approval,en,Journey00964145703,"May 30, 2026",5.0 of 5 bubbles,Quiet time out,Highly recommendable if you want to break out from the hustle and bustle of everyday-life in a big city,Thank you for describing Andetag as a quiet break from the hustle and bustle of city life. We are glad the visit gave you that pause.
8,taur:1060683821,approved_posted,en,909iland,"May 18, 2026",5.0 of 5 bubbles,Mesmerizing,"It certanly was a breath to inhale and to exhale!
It was so professional and also so humble artpiece.
I will for sure visit it again!
It was one of those artpieces that is better not described and best just experienced!","Thank you for taking the time to describe the experience so clearly. It means a lot that you noticed both the care in the work and its quiet, humble side. We are glad the room gave you space to breathe, and you are very welcome back."
9,taur:1060059191,approved_posted,sv,182mikaelab,"May 13, 2026",5.0 of 5 bubbles,En vistelse på Andetag,Jag och min syster delade upplevelsen med vår 80-åriga mamma. Vi alla tre tyckte att detta var en riktigt skön och rofylld upplevelse som bidrog till kontemplation och fantasi. Vi rekommenderar utställningen varmt till dig som önskar en fin och lugn stund.,"Tack för att ni kom tillsammans, och för att du tog dig tid att skriva. Fint att höra att alla generationer uppskattade upplevelsen! ❤️"
10,taur:1058954102,approved_posted,en,juliawL7399BD,"May 4, 2026",5.0 of 5 bubbles,"Loved it, will be back ✨","I knew visiting Andetag would be incredible, and it was even better than I had imagined ✨

The concept in itself is fantastic, the execution flawless, and the experience transformative.

The admission fee feels totally fair for the experience it provides.

Plan between 30-60min. You could do it in 10min but you would be missing the point.

The atmosphere is magical and entrancing. Once in there it is almost difficult to remember that the outside world exists.

It was very quiet when we were there.

The staff was super friendly, helpful and accommodating!

Best for lovers of experiential art, consciousness curious people, and also anyone curious to try something new.

I will be back!","Thank you for taking the time to stay with the work, and for noticing the quiet in the room. It is good to hear that the concept, the atmosphere, and the care from the staff came through so clearly. You are very welcome back."
